,stt,poiDesc,poiAddr,dientich,coords,poiLat,poiLong,geometry
69,70,Hoàng Triều,3837837,0.0,"16.468134627730336, 107.5948165874042",16.468134627730336,107.5948165874042,POINT (107.5948165874042 16.468134627730336)
70,71,HOLIDAY,234.3819844,0.0,"16.47174073886942, 107.59574056948726",16.47174073886942,107.59574056948726,POINT (107.59574056948726 16.47174073886942)
71,72,Hồng Thiện,234.3837272,0.0,"16.47197550383292, 107.59513571358606",16.47197550383292,107.59513571358606,POINT (107.59513571358606 16.47197550383292)
72,73,Hue Garden Villa Hotel,234.3828403,0.0,"16.469704439884662, 107.5948595555338",16.469704439884662,107.5948595555338,POINT (107.5948595555338 16.469704439884662)
74,75,Huế Thương,234.3883793,0.0,"16.470184768976072, 107.59517420395541",16.470184768976072,107.59517420395541,POINT (107.59517420395541 16.470184768976072)
75,76,Hữu Nghị (AMIGO),234.838006,112.0,"16.47028800611702, 107.59436536474401",16.47028800611702,107.59436536474401,POINT (107.59436536474401 16.47028800611702)
76,77,Khách sạn Bảo Sơn,9142651041,103.0,"16.46939917085082, 107.59704766694786",16.46939917085082,107.59704766694786,POINT (107.59704766694786 16.46939917085082)
77,78,Khách sạn Hoàng Tử ,2343828318,454.0,"16.45323012046812, 107.60112357894559",16.45323012046812,107.60112357894559,POINT (107.60112357894559 16.45323012046812)
78,79,Khách sạn Khánh Trang,234.3817666,182.5,"16.463616095583216, 107.59914019847618",16.463616095583216,107.59914019847618,POINT (107.59914019847618 16.463616095583216)
80,81,Khách sạn Thanh Uyên,2343999888,150.0,"16.469399623617164, 107.59882772683324",16.469399623617164,107.59882772683324,POINT (107.59882772683324 16.469399623617164)
83,84,Mimosa Fiori,905100383,0.0,"16.44758291404391, 107.58164054754984",16.44758291404391,107.58164054754984,POINT (107.58164054754984 16.44758291404391)
85,86,Mỹ Hạnh,3935822,0.0,"16.47522598127206, 107.60212662606622",16.47522598127206,107.60212662606622,POINT (107.60212662606622 16.47522598127206)
87,88,Nhà hàng khách sạn Thiên Phước,2343898966,800.0,"16.476723695830533, 107.60196990218128",16.476723695830533,107.60196990218128,POINT (107.60196990218128 16.476723695830533)
88,89,Nhật Tường,234.3830261,0.0,"16.467985233448708, 107.59565537309027",16.467985233448708,107.59565537309027,POINT (107.59565537309027 16.467985233448708)
89,90,Như Phú ,234.3825842,0.0,"16.470017170570358, 107.59505500397971",16.470017170570358,107.59505500397971,POINT (107.59505500397971 16.470017170570358)
90,91,NINO,234.3822064,0.0,"16.471359135364025, 107.59551287679031",16.471359135364025,107.59551287679031,POINT (107.59551287679031 16.471359135364025)
91,92,Nova,234.3828817,0.0,"16.468636868125753, 107.59391109409785",16.468636868125753,107.59391109409785,POINT (107.59391109409785 16.468636868125753)
92,93,Rạng Đông,3883700,0.0,"16.45938309621535, 107.58902168918162",16.45938309621535,107.58902168918162,POINT (107.58902168918162 16.45938309621535)
93,94,Thanh Bình ,234.3822955,0.0,"16.480061009689614, 107.5960951718022",16.480061009689614,107.5960951718022,POINT (107.5960951718022 16.480061009689614)
95,96,Thanh Tuyền,234.3812156,0.0,"16.474808540577147, 107.60213381860032",16.474808540577147,107.60213381860032,POINT (107.60213381860032 16.474808540577147)
96,97,The Times,234.3836569,148.0,"16.469995917076073, 107.59717700504481",16.469995917076073,107.59717700504481,POINT (107.59717700504481 16.469995917076073)
97,98,Thùy Dương,234.3958958,0.0,"16.464714911168215, 107.59368508545337",16.464714911168215,107.59368508545337,POINT (107.59368508545337 16.464714911168215)
100,101,Vọng Cảnh,3824130,372.0,"16.46455976197643, 107.59385063071927",16.46455976197643,107.59385063071927,POINT (107.59385063071927 16.46455976197643)
105,106,Bình Dương III,2343830145,95.0,"16.46452040624565, 107.59271635889641",16.46452040624565,107.59271635889641,POINT (107.59271635889641 16.46452040624565)
106,107,Bốn Mùa Huế,3933232,0.0,"16.457331465517957, 107.57500669629965",16.457331465517957,107.57500669629965,POINT (107.57500669629965 16.457331465517957)
108,109,Casablanca Boutique,3687868,0.0,"16.46955774781481, 107.59882203219159",16.46955774781481,107.59882203219159,POINT (107.59882203219159 16.46955774781481)
109,110,Champa Huế,3983666,0.0,"16.46819855603672, 107.60103388615438",16.46819855603672,107.60103388615438,POINT (107.60103388615438 16.46819855603672)
111,112,Charming Reverside,3931986,0.0,"16.47546265959764, 107.59529886966239",16.47546265959764,107.59529886966239,POINT (107.59529886966239 16.47546265959764)
112,113,Chuông Vàng,234.389869,1475.0,"16.461361927851392, 107.60349899456793",16.461361927851392,107.60349899456793,POINT (107.60349899456793 16.461361927851392)
113,114,CN Công ty cổ phần An Việt II Huế - HUE HOTEL,,380.3,"16.47093995038675, 107.59498232248603",16.47093995038675,107.59498232248603,POINT (107.59498232248603 16.47093995038675)
114,115,Cổng chiến thắng (Win Gate),3816660,0.0,"16.46149520548461, 107.60243603059843",16.46149520548461,107.60243603059843,POINT (107.60243603059843 16.46149520548461)
116,117,Công ty TNHH MTV Golden Inn Hotel,234.3817879,168.0,"16.461569336162114, 107.58957437482562",16.461569336162114,107.58957437482562,POINT (107.58957437482562 16.461569336162114)
121,122,D. Hoàng Vũ,1653954041,0.0,"16.458422211999036, 107.59720652826569",16.458422211999036,107.59720652826569,POINT (107.59720652826569 16.458422211999036)
122,123,Đăng Tuấn,0234 3817161,296.0,"16.47106286817247, 107.59483596523664",16.47106286817247,107.59483596523664,POINT (107.59483596523664 16.47106286817247)
126,127,Đồng Dao,914051525,0.0,"16.49071123584106, 107.60235297278233",16.49071123584106,107.60235297278233,POINT (107.60235297278233 16.49071123584106)
127,128,Đông Hải,3.866115,0.0,"16.555378836938928, 107.64762716206862",16.555378836938928,107.64762716206862,POINT (107.64762716206862 16.555378836938928)
130,131,Êmm Huế,0234 3828255,1890.0,"16.460823259593937, 107.5915763069617",16.460823259593937,107.5915763069617,POINT (107.5915763069617 16.460823259593937)
131,132,Gold I,3814815,0.0,"16.46874421460569, 107.59866755047172",16.46874421460569,107.59866755047172,POINT (107.59866755047172 16.46874421460569)
133,134,Green Zone Hotel,0234 3837373,60.0,"16.46846516289406, 107.59692645705434",16.46846516289406,107.59692645705434,POINT (107.59692645705434 16.46846516289406)
134,135,Hoa Đào (Cherry),3687777,0.0,"16.470391270183274, 107.59638953067235",16.470391270183274,107.59638953067235,POINT (107.59638953067235 16.470391270183274)
135,136,Hoàn Kiếm,3936566,0.0,"16.476109767670003, 107.60321762040493",16.476109767670003,107.60321762040493,POINT (107.60321762040493 16.476109767670003)
136,137,Hoàng Cung (Imperial),3882222,0.0,"16.46585379817463, 107.59154649699005",16.46585379817463,107.59154649699005,POINT (107.59154649699005 16.46585379817463)
138,139,Hồng Thăng,0234 3938717,330.0,"16.473398847456245, 107.6003296855022",16.473398847456245,107.6003296855022,POINT (107.6003296855022 16.473398847456245)
139,140,Hồng Thiện I,3947474,0.0,"16.469132640751347, 107.59621666085536",16.469132640751347,107.59621666085536,POINT (107.59621666085536 16.469132640751347)
140,141,Hồng Thiện Ruby,3837399,0.0,"16.46923938556601, 107.59629712712606",16.46923938556601,107.59629712712606,POINT (107.59629712712606 16.46923938556601)
142,143,Huế Ecolodge,2343935818,252908.0,"16.438561254175585, 107.53524099348124",16.438561254175585,107.53524099348124,POINT (107.53524099348124 16.438561254175585)
144,145,Hướng Dương ,3821550,0.0,"16.46035287438765, 107.58935695155597",16.46035287438765,107.58935695155597,POINT (107.58935695155597 16.46035287438765)
145,146,Hương Thảo,3954666,0.0,"16.442624071737132, 107.61860989476368",16.442624071737132,107.61860989476368,POINT (107.61860989476368 16.442624071737132)
148,149,Khách sạn Anhill thuộc công ty cổ phần INNHUE,234.3881234,5836.3,"16.417182051127924, 107.58984717753408",16.417182051127924,107.58984717753408,POINT (107.58984717753408 16.417182051127924)
153,154,Khách sạn Cố Đô Cỉtadel,2343826249,200.0,"16.461876718957075, 107.601802701197",16.461876718957075,107.601802701197,POINT (107.601802701197 16.461876718957075)
155,156,Khách sạn Đức Lộc,0234 3931671,147.0,"16.481402976149713, 107.59595973828878",16.481402976149713,107.59595973828878,POINT (107.59595973828878 16.481402976149713)
156,157,Khách sạn Familia,796626365,145.0,"16.470557824009845, 107.59613798903898",16.470557824009845,107.59613798903898,POINT (107.59613798903898 16.470557824009845)
158,159,Khách sạn Hài Hòa,0234 3845777,87.0,"16.460795387891526, 107.58980901195831",16.460795387891526,107.58980901195831,POINT (107.58980901195831 16.460795387891526)
159,160,Khách sạn Hoa Nhài,0234 3830111,521.4,"16.470313759461725, 107.59481293865882",16.470313759461725,107.59481293865882,POINT (107.59481293865882 16.470313759461725)
160,161,Khách sạn Hoàn Cầu,0234 3624642,750.0,"16.464776929605204, 107.59547953516353",16.464776929605204,107.59547953516353,POINT (107.59547953516353 16.464776929605204)
161,162,khách sạn Hoàng Anh Palace,0905266855/ 0934751868,800.0,"16.47308400954763, 107.60067662613238",16.47308400954763,107.60067662613238,POINT (107.60067662613238 16.47308400954763)
162,163,Khách sạn Hoàng Huy,905073074,84.0,"16.451025012546577, 107.60702720059996",16.451025012546577,107.60702720059996,POINT (107.60702720059996 16.451025012546577)
163,164,Khách sạn Hồng Nhung,0234 3820993,147.0,"16.47283592153616, 107.59586626912198",16.47283592153616,107.59586626912198,POINT (107.59586626912198 16.47283592153616)
164,165,Khách sạn Hông Thăng,0234 3938717,353.0,"16.47339720965708, 107.60032987652406",16.47339720965708,107.60032987652406,POINT (107.60032987652406 16.47339720965708)
165,166,Khách sạn Huế (Hue Classic Hotel),0234-3689998,500.0,"16.480812470503242, 107.5964992647981",16.480812470503242,107.5964992647981,POINT (107.5964992647981 16.480812470503242)
166,167,Khách sạn Huế Sài Gòn,0234 3821007,168.0,"16.464169433565903, 107.59391935564733",16.464169433565903,107.59391935564733,POINT (107.59391935564733 16.464169433565903)
