NAME_3,Shape_Leng,Shape_Area,geometry,ward,population
Phú Hậu,0.0406212488561,9.63989596774e-05,"POLYGON ((107.58019256593423 16.491294860669313, 107.57838439892095 16.494070053390317, 107.57855987643723 16.49485588009486, 107.58029937841366 16.494705199585326, 107.58373260417642 16.49587631294156, 107.58760833775466 16.49943733236705, 107.59026336666108 16.49793243383482, 107.59183502096948 16.494977951371425, 107.5929031358711 16.48941230713234, 107.59222412164598 16.48843383935025, 107.58263397168054 16.48965072639993, 107.58019256593423 16.491294860669313))",Phú Hậu,110
Phú Hiệp,0.0441857334076,8.30452456737e-05,"POLYGON ((107.58201599084538 16.48322105400848, 107.57888793922706 16.487453459609526, 107.58131408617618 16.48925018364912, 107.58019256593423 16.491294860669313, 107.58263397168054 16.48965072639993, 107.59222412164598 16.48843383935025, 107.5913925176506 16.481918335662726, 107.58645629901906 16.482975005791957, 107.58517456095728 16.47905922000706, 107.58201599084538 16.48322105400848))",Phú Hiệp,120
Phú Hòa,0.0488835764806,4.97688019074e-05,"POLYGON ((107.58129119932943 16.48243141237981, 107.58201599084538 16.48322105400848, 107.58517456095728 16.47905922000706, 107.58963775597772 16.47353363067259, 107.5908126833587 16.471054076584437, 107.58881378183065 16.468940735426656, 107.58805847182106 16.46814918633595, 107.58423614538185 16.464645386275606, 107.58161163227106 16.467353821421796, 107.5860977168362 16.470222472589114, 107.58744812083415 16.473840714977086, 107.58414459259893 16.477832794747712, 107.58129119932943 16.48243141237981))",Phú Hòa,130
Phú Hội,0.04011322965,8.76167164536e-05,"POLYGON ((107.5908126833587 16.471054076584437, 107.59152984682504 16.47181701734155, 107.59371185391899 16.473293303942853, 107.59570312469953 16.4736232750941, 107.59987640257395 16.471441269798788, 107.59883880706536 16.46858787563002, 107.60014343287321 16.464700699078037, 107.59936523421823 16.459354401284656, 107.58881378183065 16.468940735426656, 107.5908126833587 16.471054076584437))",Phú Hội,140
Phú Nhuận,0.0393103264144,6.22959884015e-05,"POLYGON ((107.6003189085908 16.456912993739707, 107.59654235944237 16.45551872440967, 107.59410095189747 16.45615768373017, 107.59214019781194 16.456380844200623, 107.59059906109786 16.465068816772543, 107.58805847182106 16.46814918633595, 107.58881378183065 16.468940735426656, 107.59936523421823 16.459354401284656, 107.6003189085908 16.456912993739707))",Phú Nhuận,150
Phú Thuận,0.1106345288,9.03543572265e-05,"POLYGON ((107.55797576896663 16.476089477847154, 107.55626678458452 16.478992462432245, 107.56214141789218 16.48314666838411, 107.56347656219367 16.484043120693514, 107.56765747081567 16.487010957189966, 107.56797790555595 16.48635292055087, 107.5702438346853 16.48788452085398, 107.5707702636368 16.48721504214052, 107.56625366237665 16.484508515355742, 107.55949401793464 16.479112625347454, 107.55779266430005 16.478448868120836, 107.56537628109055 16.46913528486556, 107.57074737589073 16.461570739997683, 107.57204437185032 16.462448121283842, 107.57421112014714 16.462560654350796, 107.58052825857231 16.46578598023882, 107.58161163227106 16.467353821421796, 107.58423614538185 16.464645386275606, 107.58098602338634 16.4625854495589, 107.57553100475212 16.460863113841697, 107.57054138078018 16.459566116083465, 107.55797576896663 16.476089477847154))",Phú Thuận,160
Phước Vĩnh,0.0464724227975,8.59416733505e-05,"POLYGON ((107.59410095189747 16.45615768373017, 107.5936889652736 16.4536705015924, 107.59276580669666 16.45314979502706, 107.59191894480352 16.450084686958803, 107.59046935997304 16.448421478968157, 107.59134674125914 16.446763993363675, 107.59072875862535 16.44355964596093, 107.58924102725166 16.443151474261185, 107.58837890656133 16.44184303262989, 107.58627319255385 16.443695067673275, 107.58674621526569 16.450208664798083, 107.5855789177329 16.449876785285483, 107.58499145539139 16.451501845833548, 107.58226013159987 16.45204353358224, 107.58345031777799 16.454870224181548, 107.58501434403684 16.454524995132488, 107.58885955912143 16.45638847404888, 107.59214019781194 16.456380844200623, 107.59410095189747 16.45615768373017))",Phước Vĩnh,170
Tây Lộc,0.0441233266877,0.000119550836282,"POLYGON ((107.56537628109055 16.46913528486556, 107.55779266430005 16.478448868120836, 107.55949401793464 16.479112625347454, 107.56625366237665 16.484508515355742, 107.57034301731647 16.479263305856932, 107.5732040413335 16.474714278641102, 107.56537628109055 16.46913528486556))",Tây Lộc,180
Thuận Hòa,0.0513621986257,9.21217903588e-05,"POLYGON ((107.58161163227106 16.467353821421796, 107.58052825857231 16.46578598023882, 107.57421112014714 16.462560654350796, 107.57204437185032 16.462448121283842, 107.57074737589073 16.461570739997683, 107.56537628109055 16.46913528486556, 107.5732040413335 16.474714278641102, 107.57361602795737 16.474987031326464, 107.57575225776054 16.47225570843426, 107.57299804622289 16.470085144313998, 107.57646179137862 16.465614319445308, 107.5805130006745 16.46854019177647, 107.58161163227106 16.467353821421796))",Thuận Hòa,190
Thuận Lộc,0.0521058362495,0.00012243339378,"POLYGON ((107.5707702636368 16.48721504214052, 107.57483673172987 16.490442276390013, 107.580383300449 16.482683182083235, 107.58129119932943 16.48243141237981, 107.58414459259893 16.477832794747712, 107.58017730713709 16.474998474300207, 107.5769958510777 16.47917938292221, 107.57543182302027 16.478055955218224, 107.5745773321782 16.479143142941723, 107.57353973397159 16.478689194850517, 107.57212066673543 16.480550767204193, 107.57034301731647 16.479263305856932, 107.56625366237665 16.484508515355742, 107.5707702636368 16.48721504214052))",Thuận Lộc,200
